State Name,District Name,Market Name,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Year,Month,Day,DayOfWeek,WeekOfYear,Quarter,Price_Spread,Price_Ratio
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-10-17,2008,10,17,4,42,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-10-18,2008,10,18,5,42,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-10-18,2008,10,18,5,42,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.06,13500,14000,14000,2008-10-20,2008,10,20,0,43,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.06,14500,15000,15000,2008-10-20,2008,10,20,0,43,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-10-21,2008,10,21,1,43,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-10-21,2008,10,21,1,43,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-10-22,2008,10,22,2,43,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-10-22,2008,10,22,2,43,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-10-23,2008,10,23,3,43,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-10-23,2008,10,23,3,43,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-10-24,2008,10,24,4,43,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-10-24,2008,10,24,4,43,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-10-25,2008,10,25,5,43,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-10-25,2008,10,25,5,43,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-10-27,2008,10,27,0,44,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-10-27,2008,10,27,0,44,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-10-29,2008,10,29,2,44,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-10-29,2008,10,29,2,44,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.06,13500,14000,14000,2008-10-31,2008,10,31,4,44,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.06,14500,15000,15000,2008-10-31,2008,10,31,4,44,4,500,1.0344827586206897
