State Name,District Name,Market Name,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Year,Month,Day,DayOfWeek,WeekOfYear,Quarter,Price_Spread,Price_Ratio,Arrival_Lag_1,Arrival_Lag_3,Arrival_Lag_7,Price_Lag_1,Price_Lag_3,Price_Lag_7,Arrival_RollMean_7,Price_RollMean_7,Arrival_RollMean_14,Price_RollMean_14,Arrival_RollMean_30,Price_RollMean_30,Price_Volatility_14,Arrival_Volatility_14,Log_Arrivals,Log_Modal_Price,Price_Change,Price_Pct_Change,Arrival_Change,Month_Sin,Month_Cos,DayOfWeek_Sin,DayOfWeek_Cos,Year_Trend,Is_Weekend,State Name_Encoded,District Name_Encoded,Market Name_Encoded
Tripura,Sepahijala,Bishalgarh,Beverages,4.0,4500,8000,6000,2002-03-02,2002,3,2,5,9,1,3500,1.3333333333333333,4.0,3.6,3.7,12000.0,7000.0,14000.0,3.5142857142857147,10428.57142857143,2.8923076923076922,9769.23076923077,2.8923076923076922,9769.23076923077,2554.533426213293,0.8190050248742254,1.6094379124341003,8.699681400989514,-6000.0,-0.49995833680526625,0.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0,1,7,10,1
Tripura,Sepahijala,Bishalgarh,Beverages,5.0,5000,8000,6000,2002-03-04,2002,3,4,0,10,1,3000,1.2,4.0,3.6,3.7,6000.0,14000.0,7000.0,3.5571428571428574,9285.714285714286,2.9714285714285715,9500.0,2.9714285714285715,9500.0,2653.0099016893128,0.8407218248702638,1.791759469228055,8.699681400989514,0.0,0.0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0,0,7,10,1
Tripura,Sepahijala,Bishalgarh,Beverages,5.0,6000,9000,8000,2002-03-06,2002,3,6,2,10,1,3000,1.3333333333333333,5.0,4.0,3.0,6000.0,12000.0,12000.0,3.7428571428571433,9142.857142857143,3.2214285714285715,9214.285714285714,3.106666666666667,9266.666666666666,2805.99828467987,0.8885412171112232,1.791759469228055,8.987321812850125,2000.0,0.3332777870354941,0.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,0,7,10,1
Tripura,Sepahijala,Bishalgarh,Beverages,4.0,10000,14000,12000,2002-03-07,2002,3,7,3,10,1,4000,1.2,5.0,4.0,3.0,8000.0,6000.0,7000.0,4.028571428571429,8571.42857142857,3.4714285714285715,9214.285714285714,3.225,9187.5,2805.99828467987,0.8588261858970164,1.6094379124341003,9.392745258631441,4000.0,0.4999375078115236,-1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0,0,7,10,1
Tripura,Sepahijala,Bishalgarh,Beverages,4.0,6000,8000,7000,2002-03-07,2002,3,7,3,10,1,2000,1.1666666666666667,4.0,5.0,3.6,12000.0,6000.0,7000.0,4.171428571428572,9285.714285714286,3.5785714285714287,9500.0,3.2705882352941176,9352.941176470587,2875.6270219259604,0.8210486460136682,1.6094379124341003,8.853808274977197,-5000.0,-0.41663194733772185,0.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0,0,7,10,1
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,6000,8000,7000,2002-03-08,2002,3,8,4,10,1,2000,1.1666666666666667,4.0,5.0,3.6,7000.0,8000.0,14000.0,4.228571428571429,9285.714285714286,3.685714285714286,9285.714285714286,3.3111111111111113,9222.222222222223,2946.4077588342525,0.7654633014939806,1.3862943611198906,8.853808274977197,0.0,0.0,-1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0,0,7,10,1
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,9000,14000,12000,2002-03-08,2002,3,8,4,10,1,5000,1.3333333333333333,3.0,4.0,4.0,7000.0,12000.0,12000.0,4.142857142857143,8285.714285714286,3.7214285714285715,9071.42857142857,3.294736842105263,9105.263157894737,2999.0841092749456,0.7159486137862243,1.3862943611198906,9.392745258631441,5000.0,0.7141836880445651,0.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0,0,7,10,1
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,5000,8000,6000,2002-03-11,2002,3,11,0,11,1,3000,1.2,3.0,4.0,4.0,12000.0,7000.0,6000.0,4.0,8285.714285714286,3.757142857142857,9357.142857142857,3.28,9250.0,3078.63963107441,0.6606689916164638,1.3862943611198906,8.699681400989514,-6000.0,-0.49995833680526625,0.0,1.0,6.123233995736766e-17,0.0,1.0,0,0,7,10,1
Tripura,Sepahijala,Bishalgarh,Beverages,3.0,10100,14000,12000,2002-03-11,2002,3,11,0,11,1,3900,1.188118811881188,3.0,3.0,5.0,6000.0,7000.0,6000.0,3.857142857142857,8285.714285714286,3.707142857142857,8785.714285714286,3.2666666666666666,9095.238095238095,2887.0685539427072,0.6911131330233576,1.3862943611198906,9.392745258631441,6000.0,0.9998333611064822,0.0,1.0,6.123233995736766e-17,0.0,1.0,0,0,7,10,1
Tripura,Sepahijala,Bishalgarh,Beverages,2.7,6000,9000,8000,2002-03-13,2002,3,13,2,11,1,3000,1.3333333333333333,3.0,3.0,5.0,12000.0,12000.0,8000.0,3.5714285714285716,9142.857142857143,3.6571428571428575,9142.857142857143,3.2545454545454544,9227.272727272728,2957.5754846246523,0.7165239656889308,1.308332819650179,8.987321812850125,-4000.0,-0.33330555787017746,-0.2999999999999998,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,0,7,10,1
