State Name,District Name,Market Name,Variety,Reported Date,Modal Price (Rs./Quintal),future_modal_price,random_forest_prediction,xgboost_prediction,baseline_error,random_forest_error,xgboost_error,baseline_abs_error,random_forest_abs_error,xgboost_abs_error,actual_price_change,actual_price_change_pct
Kerala,Malappuram,Thirurrangadi,Other,2013-08-21,13000,13000.0,12565.166666666666,12624.9,0.0,434.83333333333394,375.099609375,0.0,434.83333333333394,375.099609375,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-08-21,11500,12000.0,12315.333333333334,12308.838,500.0,-315.33333333333394,-308.837890625,500.0,315.33333333333394,308.837890625,500.0,4.3478260869565215
Kerala,Malappuram,Thirurrangadi,Other,2013-08-22,13000,13000.0,12691.833333333334,12834.778,0.0,308.16666666666606,165.2216796875,0.0,308.16666666666606,165.2216796875,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-08-22,12000,13000.0,12349.333333333334,12418.474,1000.0,650.6666666666661,581.5263671875,1000.0,650.6666666666661,581.5263671875,1000.0,8.333333333333332
Kerala,Malappuram,Manjeri,Other,2013-08-22,15500,15500.0,15500.0,15492.872,0.0,0.0,7.1279296875,0.0,0.0,7.1279296875,0.0,0.0
Jharkhand,Dhanbad,Dhanbad,Other,2013-08-22,23000,23000.0,23013.333333333332,22998.635,0.0,-13.33333333333212,1.365234375,0.0,13.33333333333212,1.365234375,0.0,0.0
Kerala,Malappuram,Manjeri,Other,2013-08-23,15500,15500.0,15500.0,15493.137,0.0,0.0,6.86328125,0.0,0.0,6.86328125,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-08-23,13000,13000.0,12443.833333333334,12551.325,0.0,556.1666666666661,448.6748046875,0.0,556.1666666666661,448.6748046875,0.0,0.0
Kerala,Malappuram,Thirurrangadi,Other,2013-08-23,13000,13000.0,12521.666666666666,12669.673,0.0,478.33333333333394,330.3271484375,0.0,478.33333333333394,330.3271484375,0.0,0.0
Jharkhand,Deogarh,Madhupur,Assam C.T.C. Leaf,2013-08-23,26000,26000.0,25946.666666666668,25957.46,0.0,53.33333333333212,42.5390625,0.0,53.33333333333212,42.5390625,0.0,0.0
Jharkhand,Deogarh,Madhupur,Assam C.T.C. Leaf,2013-08-24,26000,26000.0,25953.333333333332,25950.232,0.0,46.66666666666788,49.767578125,0.0,46.66666666666788,49.767578125,0.0,0.0
Kerala,Malappuram,Manjeri,Other,2013-08-24,15500,15500.0,15500.0,15492.7295,0.0,0.0,7.2705078125,0.0,0.0,7.2705078125,0.0,0.0
Kerala,Malappuram,Thirurrangadi,Other,2013-08-24,13000,13000.0,12558.166666666666,12800.418,0.0,441.83333333333394,199.58203125,0.0,441.83333333333394,199.58203125,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-08-24,13000,12000.0,12456.166666666666,12762.682,-1000.0,-456.16666666666606,-762.681640625,1000.0,456.16666666666606,762.681640625,-1000.0,-7.6923076923076925
Jharkhand,Deogarh,Madhupur,C.T.C. Dust,2013-08-24,17000,17000.0,17003.333333333332,16980.727,0.0,-3.3333333333321207,19.2734375,0.0,3.3333333333321207,19.2734375,0.0,0.0
Jharkhand,Dhanbad,Dhanbad,Other,2013-08-24,23000,23000.0,23006.666666666668,23017.69,0.0,-6.666666666667879,-17.689453125,0.0,6.666666666667879,17.689453125,0.0,0.0
Jharkhand,Dhanbad,Dhanbad,Other,2013-08-25,23000,23000.0,23040.0,23082.229,0.0,-40.0,-82.228515625,0.0,40.0,82.228515625,0.0,0.0
Jharkhand,Dhanbad,Dhanbad,Other,2013-08-26,23000,23000.0,22993.333333333332,23008.22,0.0,6.666666666667879,-8.220703125,0.0,6.666666666667879,8.220703125,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-08-26,12000,13000.0,12505.0,12639.644,1000.0,495.0,360.3564453125,1000.0,495.0,360.3564453125,1000.0,8.333333333333332
Kerala,Malappuram,Manjeri,Other,2013-08-26,15500,15500.0,15500.0,15485.244,0.0,0.0,14.755859375,0.0,0.0,14.755859375,0.0,0.0
Kerala,Malappuram,Thirurrangadi,Other,2013-08-26,13000,13000.0,12634.166666666666,12788.658,0.0,365.83333333333394,211.341796875,0.0,365.83333333333394,211.341796875,0.0,0.0
Kerala,Malappuram,Manjeri,Other,2013-08-27,15500,15500.0,15500.0,15484.624,0.0,0.0,15.3759765625,0.0,0.0,15.3759765625,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-08-27,13000,13000.0,12434.833333333334,12214.284,0.0,565.1666666666661,785.7158203125,0.0,565.1666666666661,785.7158203125,0.0,0.0
Kerala,Malappuram,Thirurrangadi,Other,2013-08-27,13000,13000.0,12350.666666666666,12605.001,0.0,649.3333333333339,394.9990234375,0.0,649.3333333333339,394.9990234375,0.0,0.0
Jharkhand,Deogarh,Madhupur,Assam C.T.C. Leaf,2013-08-27,26000,26000.0,25953.333333333332,25958.734,0.0,46.66666666666788,41.265625,0.0,46.66666666666788,41.265625,0.0,0.0
Jharkhand,Deogarh,Madhupur,C.T.C. Dust,2013-08-27,17000,17000.0,16996.666666666668,16978.588,0.0,3.3333333333321207,21.412109375,0.0,3.3333333333321207,21.412109375,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-08-28,13000,12000.0,12582.166666666666,12775.401,-1000.0,-582.1666666666661,-775.4013671875,1000.0,582.1666666666661,775.4013671875,-1000.0,-7.6923076923076925
Kerala,Malappuram,Thirurrangadi,Other,2013-08-28,13000,13000.0,12672.333333333334,12668.327,0.0,327.66666666666606,331.6728515625,0.0,327.66666666666606,331.6728515625,0.0,0.0
Jharkhand,Dhanbad,Dhanbad,Other,2013-08-28,23000,23000.0,23003.333333333332,23003.742,0.0,-3.3333333333321207,-3.7421875,0.0,3.3333333333321207,3.7421875,0.0,0.0
Kerala,Malappuram,Manjeri,Other,2013-08-28,15500,15500.0,15500.0,15481.711,0.0,0.0,18.2890625,0.0,0.0,18.2890625,0.0,0.0
Jharkhand,Deogarh,Madhupur,Assam C.T.C. Leaf,2013-08-29,26000,26000.0,25946.666666666668,25959.363,0.0,53.33333333333212,40.63671875,0.0,53.33333333333212,40.63671875,0.0,0.0
Jharkhand,Deogarh,Madhupur,C.T.C. Dust,2013-08-29,17000,17000.0,16984.666666666668,16993.793,0.0,15.33333333333212,6.20703125,0.0,15.33333333333212,6.20703125,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-08-29,12000,13000.0,12415.666666666666,12080.815,1000.0,584.3333333333339,919.1845703125,1000.0,584.3333333333339,919.1845703125,1000.0,8.333333333333332
Kerala,Malappuram,Manjeri,Other,2013-08-29,15500,15500.0,15500.0,15483.637,0.0,0.0,16.36328125,0.0,0.0,16.36328125,0.0,0.0
Kerala,Malappuram,Thirurrangadi,Other,2013-08-29,13000,11000.0,12685.666666666666,12764.21,-2000.0,-1685.666666666666,-1764.2099609375,2000.0,1685.666666666666,1764.2099609375,-2000.0,-15.384615384615385
Kerala,Malappuram,Parappanangadi,Other,2013-08-30,13000,13000.0,12384.0,12496.433,0.0,616.0,503.5673828125,0.0,616.0,503.5673828125,0.0,0.0
Kerala,Malappuram,Thirurrangadi,Other,2013-08-30,11000,12000.0,11837.166666666666,11404.327,1000.0,162.83333333333394,595.6728515625,1000.0,162.83333333333394,595.6728515625,1000.0,9.090909090909092
Kerala,Malappuram,Manjeri,Other,2013-08-30,15500,15500.0,15498.333333333334,15490.87,0.0,1.6666666666660603,9.1298828125,0.0,1.6666666666660603,9.1298828125,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-08-31,13000,11000.0,12535.0,13246.082,-2000.0,-1535.0,-2246.08203125,2000.0,1535.0,2246.08203125,-2000.0,-15.384615384615385
Kerala,Malappuram,Manjeri,Other,2013-08-31,15500,15500.0,15480.0,15320.997,0.0,20.0,179.0029296875,0.0,20.0,179.0029296875,0.0,0.0
Jharkhand,Dhanbad,Dhanbad,Other,2013-08-31,23000,23000.0,23003.333333333332,23009.3,0.0,-3.3333333333321207,-9.30078125,0.0,3.3333333333321207,9.30078125,0.0,0.0
